1     2446 0 0 9V1  Springview Municipal
100   60.96   3   0 0.25 0 0 0 13   42.83111303 -099.74256664    0.00    0.00 0  0 0 0 31   42.82654828 -099.73711777    0.00    0.00 0  0 0 0
110   4 1.00 138.80 New Taxiway 5
111  42.82618102 -099.74369723 
111  42.82613655 -099.74366085 
112  42.82615119 -099.74112089  42.82615119 -099.74096323 
112  42.82636168 -099.74021235  42.82656922 -099.73980407 
111  42.82681481 -099.73950216 
112  42.82724767 -099.73919898  42.82729807 -099.73912621 
112  42.82720023 -099.73892813  42.82713501 -099.73880282 
112  42.82692154 -099.73873409  42.82687410 -099.73871388 
112  42.82698380 -099.73869367  42.82703717 -099.73870580 
112  42.82724174 -099.73882303  42.82732476 -099.73892005 
112  42.82732179 -099.73915855  42.82731290 -099.73920706 
111  42.82738405 -099.73917876 
111  42.82908901 -099.73940344 
112  42.82910203 -099.73940344  42.82911505 -099.73940344 
111  42.82904560 -099.73943895 
112  42.82741054 -099.73923268  42.82732456 -099.73921651 
112  42.82717605 -099.73934917  42.82708683 -099.73941936 
111  42.82685019 -099.73957628 
112  42.82646773 -099.74017456  42.82624833 -099.74056668 
111  42.82620679 -099.74108512 
113  42.82620386 -099.74261215 
110   2 1.00 138.80 New Taxiway 3
111  42.82825163 -099.74026173 
111  42.82818517 -099.74034883 
111  42.82821622 -099.74038631 
111  42.82813396 -099.74051765 
111  42.82804941 -099.74041632 
111  42.82813226 -099.74028813 
111  42.82816129 -099.74032156 
113  42.82822582 -099.74023094 
110   2 1.00 138.80 New Taxiway 2
111  42.83038711 -099.74032566 
112  42.83036083 -099.74039922  42.83032211 -099.74038224 
111  42.83030274 -099.74035018 
111  42.82950054 -099.73946002 
112  42.82948256 -099.73936950  42.82950054 -099.73935629 
112  42.82955725 -099.73937893  42.82957799 -099.73940721 
113  42.83034562 -099.74025777 
110   2 1.00   5.00 New Taxiway 4
111  42.82673289 -099.73894156 
111  42.82661534 -099.73896858 
111  42.82659112 -099.73877658 
113  42.82670963 -099.73875428 
110   3 1.00 138.80 New Taxiway 1
111  42.82695967 -099.73987359 
111  42.82732734 -099.73931500 
111  42.82689139 -099.73880655 
111  42.82669515 -099.73914288 
111  42.82609139 -099.73917754 
111  42.82610410 -099.73902157 
111  42.82569736 -099.73894358 
111  42.82566558 -099.73726254 
111  42.82609139 -099.73723654 
111  42.82613518 -099.73552214 
111  42.82908152 -099.73889320 
111  42.83156527 -099.73881459 
111  42.83157674 -099.74387506 
111  42.83118806 -099.74386790 
111  42.82897682 -099.74127537 
111  42.82825999 -099.74132502 
114  42.82812542 -099.74127767  42.82810806 -099.74124215 
14   42.82808533 -099.74016231    6 0 New Tower Viewpoint 3
15   42.82822910 -099.74026302  91.83 New Ramp Start 1
19   42.82871961 -099.74094957 0 New Windsock 2
